iter	Passed	Remaining
945	2291	130
946	2294	128
947	2296	125
948	2298	123
949	2300	121
950	2303	118
951	2305	116
952	2307	113
953	2309	111
954	2311	108
955	2313	106
956	2317	104
957	2319	101
958	2322	99
959	2324	96
960	2326	94
961	2328	91
962	2330	89
963	2333	87
964	2335	84
965	2337	82
966	2339	79
967	2342	77
968	2344	74
969	2346	72
970	2349	70
971	2351	67
972	2353	65
973	2355	62
974	2358	60
975	2361	58
976	2363	55
977	2365	53
978	2367	50
979	2369	48
980	2372	45
981	2373	43
982	2376	41
983	2379	38
984	2381	36
985	2383	33
986	2386	31
987	2388	29
988	2392	26
989	2394	24
990	2396	21
991	2398	19
992	2400	16
993	2402	14
994	2406	12
995	2408	9
996	2411	7
997	2413	4
998	2415	2
999	2417	0
